"gsis_id","headshot"
"00-0036261","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avzzxycxyculxxqce5k7"
"00-0031590","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0drbhvsjykf2xxvskx"
"00-0039178","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oac43hjcupsdhh4ssp6m"
"00-0027581","https://static.www.nfl.com/image/private/f_auto,q_auto/league/tmbglbojtv1psbkhejsg"
"00-0024475","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mnmz2tjclicxiaskxkb1"
"00-0020330","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jk4rhgph0eo0xxxcang8"
"00-0036414","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m"
"00-0000108","https://static.www.nfl.com/image/private/f_auto,q_auto/league/emsxaumip79uaj7bq8jd"
"00-0036598","https://static.www.nfl.com/image/private/f_auto,q_auto/league/a3htstn0d8p9s0wcndvy"
"00-0040022","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bgyqqzyyprqdpjhhufqf"
"00-0038073","https://static.www.nfl.com/image/private/f_auto,q_auto/league/nitbwnoclhqffnkejmtf"
"00-0035600","https://static.www.nfl.com/image/private/f_auto,q_auto/league/wpnbblhymkdfqplkazvb"
"00-0029798","https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdxwbqefha0aogkji0jn"
"00-0000111","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kdatnhksooeg2vmvdceg"
"00-0000112","https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcifgxovvzwquadiwpfl"
"00-0035392","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dooa8vt14olhxjhen7zm"
"00-0034364","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84"
"AKI664464","https://static.www.nfl.com/image/private/f_auto,q_auto/league/urotipypiqo3qhualsvp"
"00-0031666","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ykf1tq70ftk2hf26nxph"
"00-0035166","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gtnnl92squxvzhhydeq8"
"00-0023595","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwql4mky1hwflj3weail"
"00-0024133","https://static.www.nfl.com/image/private/f_auto,q_auto/league/tgv1jcwz1so70naxl8iu"
"00-0035103","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q3ctjv2z2spydkgfyrly"
"00-0025445","https://static.www.nfl.com/image/private/f_auto,q_auto/league/garoys1ikj6jz3wcv8dz"
"00-0036448","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tf80dmb1inreek7ijguw"
"00-0019857","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucbzaens7103n9jywhuy"
"00-0026155","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ehas0rpm4p0v5bq5p3rd"
"ALB415290","https://static.www.nfl.com/image/private/f_auto,q_auto/league/utum7z6kc1dbqabueeym"
"00-0000119","https://static.www.nfl.com/image/private/f_auto,q_auto/league/v8pff4cjfyueif0t5k6e"
"ALB553720","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vd6oloao5xwdez9oeot0"
"00-0028614","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mijfnotdwnwv5vzrzupk"
"00-0032491","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlijcunmhmifyqdqhxcz"
"ALB622935","https://static.www.nfl.com/image/private/f_auto,q_auto/league/qammwlc0xqisp63i8afb"
"00-0000121","https://static.www.nfl.com/image/private/f_auto,q_auto/league/lip7eu79zah64gpusebf"
"00-0000123","https://static.www.nfl.com/image/private/f_auto,q_auto/league/g6nr4dntwoqmiaxmzjpp"
"00-0023911","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ten6jn7vqqudzeopvyso"
"ALD103822","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mu1jwgbg9crsb3aqidor"
"00-0000126","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jrur2iv2oya1jhegkvxz"
"00-0000129","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kjcyugvjpsg5ibggtf8p"
"ALD415288","https://static.www.nfl.com/image/private/f_auto,q_auto/league/toyfumo1pjaahufquuci"
"ALD622932","https://static.www.nfl.com/image/private/f_auto,q_auto/league/haogg9dazow5sazyh5x4"
"00-0020665","https://static.www.nfl.com/image/private/f_auto,q_auto/league/lh4glr5blkstreqoqrs7"
"00-0000130","https://static.www.nfl.com/image/private/f_auto,q_auto/league/scmox1tmvtgjirldb0em"
"00-0000133","https://static.www.nfl.com/image/private/f_auto,q_auto/league/dnm39m90vycx74qiujpy"
"00-0000134","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ubsh7worbehik5928bch"
"00-0029099","https://static.www.nfl.com/image/private/f_auto,q_auto/league/uuoekbeo3omhcjcqhdy4"
"00-0000135","https://static.www.nfl.com/image/private/f_auto,q_auto/league/rgpfsd6d4qt0sc7fkuhk"
"00-0034840","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bcbxhf4vizglggwrjh8a"
"00-0029331","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hozu7gjba4udflj7fuhq"
"00-0000136","https://static.www.nfl.com/image/private/f_auto,q_auto/league/sgkwt2povfpzrplzya5j"
"00-0000137","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryjfb2drdg3zkaxjvexg"
"ALE131142","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yitbmkbvblyb19jtrkhd"
"00-0020487","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vx4w9hmkhpddfjqprwwn"
"00-0027912","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vvu1dtofttohpfwiolyo"
"ALE174856","https://static.www.nfl.com/image/private/f_auto,q_auto/league/sxnp09rqnagdaoaoejeu"
"00-0040694","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pppak1njaiplvvzdwkn7"
"00-0000144","https://static.www.nfl.com/image/private/f_auto,q_auto/league/edu4dqueshw81vqxk2az"
"00-0034715","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bsifaobxujtd3hiize3h"
"00-0000145","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kghksofxi1gzyke5cexb"
"00-0000146","https://static.www.nfl.com/image/private/f_auto,q_auto/league/vfrofs8lmjisb3uq6prb"
"00-0032983","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwssumwi1fafajr2wrie"
"00-0031950","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ku1nc2wzlakqsdpzmecz"
"00-0000147","https://static.www.nfl.com/image/private/f_auto,q_auto/league/uv7v9mxsjduc8ukc3fys"
"00-0022342","https://static.www.nfl.com/image/private/f_auto,q_auto/league/anmsfuxwv6clunnclwik"
"00-0029270","https://static.www.nfl.com/image/private/f_auto,q_auto/league/inz4osavlxrfym2mzrbd"
"00-0025448","https://static.www.nfl.com/image/private/f_auto,q_auto/league/uwqbem4ky74lsyp9xa16"
"00-0000149","https://static.www.nfl.com/image/private/f_auto,q_auto/league/diyhxmodenpwt0elmkbc"
"00-0034728","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/niwxzo2rjy1uuo3aehac"
"00-0000151","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibdfomahxyxlgnt7e5ty"
"ALE393426","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ftulonirmksxllnidnqi"
"00-0000154","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ktzxnh8jqs0akmiienek"
"00-0027276","https://static.www.nfl.com/image/private/f_auto,q_auto/league/wmj4vhkyw21jsflfbweg"
"ALE502523","https://static.www.nfl.com/image/private/f_auto,q_auto/league/zqlycredzdnwhoyiyese"
"00-0023259","https://static.www.nfl.com/image/private/f_auto,q_auto/league/rr7kcy09b67a7q6ma6lx"
"00-0032389","https://static.www.nfl.com/image/private/f_auto,q_auto/league/uyoo4t3miqcvjjva7x20"
"00-0031393","https://static.www.nfl.com/image/private/f_auto,q_auto/league/qhwti7dor8d9rbbx82ah"
"00-0037708","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pazurakagfrtauxfbi8v"
"ALE516693","https://static.www.nfl.com/image/private/f_auto,q_auto/league/hfvduevfn20i1tionjj3"
"00-0028533","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppnmqalosxysat8p68cw"
"00-0022569","https://static.www.nfl.com/image/private/f_auto,q_auto/league/oqplkh48bllf4vwygxcv"
"00-0020728","https://static.www.nfl.com/image/private/f_auto,q_auto/league/owfhskrvxq9afdz1snxm"
"ALE568282","https://static.www.nfl.com/image/private/f_auto,q_auto/league/l7d7uyr7ngkvwwmutyjh"
"ALE611996","https://static.www.nfl.com/image/private/f_auto,q_auto/league/lgoopztc7nn1j7867frn"
"00-0025563","https://static.www.nfl.com/image/private/f_auto,q_auto/league/mcacrbbhqkc7zfalukfw"
"00-0032109","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rccrvhqts2qk8ycjqfmz"
"00-0019647","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q6aogsngaiaq2yr1sgyv"
